model_type,alpha,max_iter,rmse,mae,r2,rank
lasso,0.1,1000,1.7748037688170961,1.4500969060817581,0.026718447099441156,1
lasso,0.1,5000,1.7748037688170961,1.4500969060817581,0.026718447099441156,2
lasso,0.05,1000,1.794469053068293,1.4634789326824282,0.005030533178897567,3
lasso,0.05,5000,1.794469053068293,1.4634789326824282,0.005030533178897567,4
lasso,1.0,5000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,5
lasso,1.0,1000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,6
lasso,0.5,5000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,7
lasso,0.5,1000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,8
lasso,2.0,1000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,9
lasso,2.0,5000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,10
lasso,5.0,1000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,11
lasso,5.0,5000,1.7992098960377023,1.4392500000000001,-0.00023367012730179937,12
lasso,0.01,5000,1.8132849739603625,1.476854128802586,-0.01594438165567702,13
lasso,0.01,1000,1.8132849739603625,1.476854128802586,-0.01594438165567702,14
lasso,0.001,5000,1.817486949852474,1.4800571674285377,-0.020658389841814673,15
lasso,0.001,1000,1.817486949852474,1.4800571674285377,-0.020658389841814673,16
